"ikn","name","estimate","lowest_bid","highest_bid"
"2023/1602876","",11586114.9,11145000,11350000
"2023/1602639","",32215473.7,31947424.86,32397887.42
"2023/1588175","",6627923.19,5512602.5,5999670
"2023/1586105","",835272.39,830000,830000
"2023/1586413","",3709875.56,3425000,3425000
"2023/1571398","",47362011.5,54700000,54900000
"2023/1576880","",84706483.11,84280000,84280000
"2023/1561936","",80224300.68,79950000,79950000
"2023/1564087","",112214059.12,112100000,112100000
"2023/1557098","",145000000,155400000,161490000
"2023/1560755","",84706483.11,83900000,83900000
"2023/1559374","",81395924.77,81100000,81100000
"2023/1560741","",81395924.77,81000000,86700000
"2023/1544672","",1133971.66,1125631.02,1245094.32
"2023/1544062","",2177735.73,2583838.25,2993492.25
"2023/1543206","",6285302.22,7484972.35,7974394.4
"2023/1542204","",8636113.53,8492574.33,9046854.42
"2023/1525727","",80224300.68,79850000,79850000
"2023/1526010","",80224300.68,77950000,77950000
"2023/1525653","",84706483.11,82500000,84500000
"2023/1525702","",84706483.11,83790000,83790000
"2023/1523454","",81395924.77,81250000,81250000
"2023/1486987","",323417549.08,354500000,354500000
"2023/1520544","",84706483.11,84100000,84100000
"2023/1514177","",81395924.77,81000000,81000000
"2023/1517437","",81395924.77,81098000,81098000
"2023/1508370","",80224300.68,79700000,79700000
"2023/1507754","",80224300.68,79980000,79980000
"2023/1506932","",80224300.68,80150000,80150000
"2023/1483751","",3982444.21,3840000,3840000
"2023/1499995","",80224300.68,80185000,80185000
"2023/1500460","",80224300.68,80000000,87500000
"2023/1501147","",84706483.11,82500000,82500000
"2023/1499481","",80224300.68,79365000,79700000
"2023/1489968","",80224300.68,79900000,79900000
"2023/1490575","",80224300.68,79990000,79990000
"2023/1389314","",543662.5,561600,561600
"2023/1471414","",84706483.11,83950000,83950000
"2023/1455301","",84706483.11,79750000,94990000
"2023/1456510","",84706483.11,83750000,84500000
"2023/1456451","",84706483.11,80200000,82000000
"2023/1455457","",84706483.11,83910000,91000574.87
"2023/1450297","",84706483.11,83217000,120000000
"2023/1324693","",12565033.6,12355500,12550000
"2023/1393861","",3026306.05,3000000,3588000
"2023/1378993","",84706483.11,78750000,99987000
"2023/1356711","",2082202.29,2000875.5,2581273.26
"2023/1359874","",485806.2,475000,570000
"2023/1357436","",9225729.36,9099990.58,9769253.68
"2023/1357786","",4003086.76,3998730.5,4000013.8
"2023/1354162","",3663956.33,3550546,3625050
